analysis,monkey,method,direction,mean,std,count
short,M,torus_pca,4,0.16714345893933702,0.10207452773955944,115
short,M,torus_pca,5,0.17453278911754308,0.10597316569581053,115
short,M,torus_pca,6,0.18091874001701197,0.09629452632475091,115
short,M,torus_power_frequency,1,0.19256545388961846,0.09656278556438004,115
short,M,torus_power_frequency,2,0.17420231734340413,0.10430819928143688,115
short,M,torus_power_frequency,3,0.18917481186690432,0.09794863334588241,115
short,M,torus_power_frequency,4,0.20526647206252094,0.1091350085968014,115
short,M,torus_power_frequency,5,0.1695386818670761,0.09995232315389456,115
short,M,torus_power_frequency,6,0.19067472944691863,0.09906833556405674,115
short,T,all_bands,1,0.20841272248478396,0.12183931464573719,95
short,T,all_bands,2,0.22182036256225438,0.11756247254615412,95
short,T,all_bands,3,0.22559467055145363,0.11028879580431147,95
short,T,all_bands,4,0.18798132809964013,0.10596880660393568,95
short,T,all_bands,5,0.16526177063786443,0.1112846308639782,95
short,T,all_bands,6,0.1858111200850599,0.10162531209086814,95
short,T,peak_frequency,1,0.1605471780578628,0.08557063604096861,95
short,T,peak_frequency,2,0.27119753019718434,0.13465333699165996,95
short,T,peak_frequency,3,0.13600598638606728,0.08963632581213479,95
short,T,peak_frequency,4,0.1529314641414412,0.10682382784560976,95
short,T,peak_frequency,5,0.20093779980614188,0.12590525069158948,95
short,T,peak_frequency,6,0.1425713271273803,0.08867870837344817,95
short,T,peak_power,1,0.16174699232101417,0.11340149899283766,95
short,T,peak_power,2,0.18440600290878875,0.11947665247208356,95
short,T,peak_power,3,0.19085876156603818,0.12599845666997447,95
short,T,peak_power,4,0.17182092636305468,0.12248266859932769,95
short,T,peak_power,5,0.14004965512972978,0.0964215179811865,95
short,T,peak_power,6,0.17567687952178576,0.11732620007569478,95
short,T,power_frequency,1,0.21189157299951414,0.12008761968255915,95
short,T,power_frequency,2,0.31638373709720885,0.1281776764639794,95
short,T,power_frequency,3,0.2055156705272709,0.1272836039949337,95
short,T,power_frequency,4,0.18538050431984832,0.13060009056078786,95
short,T,power_frequency,5,0.20859847142507035,0.12562740425491853,95
short,T,power_frequency,6,0.19859100622260384,0.11655456846498945,95
short,T,torus,1,0.1812465454897486,0.09532439526431552,95
short,T,torus,2,0.21021877883079418,0.0950965079138767,95
short,T,torus,3,0.17814869777542816,0.09496083565407952,95
short,T,torus,4,0.19029769979052788,0.09068099432202692,95
short,T,torus,5,0.18516937753419674,0.09387154134342528,95
short,T,torus,6,0.18406763059178752,0.0886278179991521,95
short,T,torus_all_bands,1,0.20189394065029487,0.10115228687088801,95
short,T,torus_all_bands,2,0.2501400549958408,0.10220977071030267,95
short,T,torus_all_bands,3,0.1981748234372688,0.08760441852685266,95
short,T,torus_all_bands,4,0.18482572368963943,0.10032453135697054,95
short,T,torus_all_bands,5,0.2000691261593885,0.1001817538081709,95
short,T,torus_all_bands,6,0.1905862521773032,0.09182926926108571,95
short,T,torus_pca,1,0.1482948905342629,0.0906990589596112,95
short,T,torus_pca,2,0.1665560819551559,0.10484018752750139,95
short,T,torus_pca,3,0.1596005708682272,0.09304313939290557,95
short,T,torus_pca,4,0.156822774621024,0.10254755406722761,95
short,T,torus_pca,5,0.15292910132580967,0.09817710355043542,95
short,T,torus_pca,6,0.1696130392281852,0.11061374937154093,95
short,T,torus_power_frequency,1,0.19144668410274368,0.09966127282930241,95
short,T,torus_power_frequency,2,0.26849587455081403,0.1146553140676164,95
short,T,torus_power_frequency,3,0.20085293886419864,0.09274966207027695,95
short,T,torus_power_frequency,4,0.20566200635102955,0.09476070189726056,95
short,T,torus_power_frequency,5,0.22508334904875335,0.0928421815478857,95
short,T,torus_power_frequency,6,0.20344373717163824,0.09030880101864575,95
