recording,monkey,day,analysis,method,macro_f1,n_trials
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,torus,0.17067097841846768,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,torus_all_bands,0.18276270014271004,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,torus_pca,0.1419471797202444,132
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,short,torus_power_frequency,0.17757927691732497,132
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,all_bands,0.1159867670798953,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,peak_frequency,0.114753520729741,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,peak_power,0.14699432404540763,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,power_frequency,0.14889937503106845,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,torus,0.176255011720128,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,torus_all_bands,0.1491890187012138,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,torus_pca,0.15636243837463348,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_long,torus_power_frequency,0.15674685035866318,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,all_bands,0.2045076041958492,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,peak_frequency,0.1266317106038633,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,peak_power,0.1684453215893378,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,power_frequency,0.1948100918689154,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,torus,0.16140081786953472,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,torus_all_bands,0.11427909203904069,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,torus_pca,0.13877300132680334,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,matched_short,torus_power_frequency,0.1572456602944408,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,all_bands,0.2045076041958492,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,peak_frequency,0.1266317106038633,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,peak_power,0.1684453215893378,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,power_frequency,0.1948100918689154,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,torus,0.16140081786953472,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,torus_all_bands,0.11427909203904069,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,torus_pca,0.13877300132680334,120
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,short,torus_power_frequency,0.1572456602944408,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,all_bands,0.11723690021562362,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,peak_frequency,0.19582469649978362,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,peak_power,0.1636839682109403,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,power_frequency,0.13303495372364352,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,torus,0.21062302850093548,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,torus_all_bands,0.19450201543224802,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,torus_pca,0.16973163002574768,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_long,torus_power_frequency,0.17548904995713502,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,all_bands,0.19142013530558422,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,peak_frequency,0.21159624274031053,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,peak_power,0.24511206458800916,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,power_frequency,0.22018057816011782,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,torus,0.2338332218102663,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,torus_all_bands,0.2510335917312661,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,torus_pca,0.15858161600097084,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,matched_short,torus_power_frequency,0.22040371436225836,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,all_bands,0.19142013530558422,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,peak_frequency,0.21159624274031053,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,peak_power,0.24511206458800916,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,power_frequency,0.22018057816011782,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,torus,0.2338332218102663,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,torus_all_bands,0.2510335917312661,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,torus_pca,0.15858161600097084,120
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,short,torus_power_frequency,0.22040371436225836,120
monkeyM_session-o080430002-12_lfp-1,M,2008-04-30,matched_long,all_bands,0.19250814146796932,120
monkeyM_session-o080430002-12_lfp-1,M,2008-04-30,matched_long,peak_frequency,0.07610563178959405,120
monkeyM_session-o080430002-12_lfp-1,M,2008-04-30,matched_long,peak_power,0.21789302600472815,120
monkeyM_session-o080430002-12_lfp-1,M,2008-04-30,matched_long,power_frequency,0.15191529464667108,120
monkeyM_session-o080430002-12_lfp-1,M,2008-04-30,matched_long,torus,0.20029014964062686,120
monkeyM_session-o080430002-12_lfp-1,M,2008-04-30,matched_long,torus_all_bands,0.20380453505453508,120
