lfp_uid,monkey,session_id,lfp_id,freq_hz,band,median_residual_log_psd,prominence,bootstrap_support,included_for_order,exclusion_reason
monkeyM_session-o080521010-13_lfp-2,M,o080521010-13,2,6.0,theta,0.014129620242542669,0.1578119401221613,1.0,True,
monkeyM_session-o080521010-13_lfp-2,M,o080521010-13,2,16.0,beta,0.5138061649687932,0.6983132423356998,1.0,True,
monkeyM_session-o080521010-13_lfp-2,M,o080521010-13,2,31.0,low_gamma,0.4972176182415474,0.3447557816025352,0.9583333333333334,True,
monkeyM_session-o080521010-13_lfp-2,M,o080521010-13,2,47.0,low_gamma,-0.243145661893328,0.059606289572169374,0.75,True,
monkeyM_session-o080521010-13_lfp-5,M,o080521010-13,5,16.0,beta,0.5485356636434064,0.6629480912879708,1.0,True,
monkeyM_session-o080521010-13_lfp-5,M,o080521010-13,5,30.0,low_gamma,0.4522571893368239,0.35112969358641516,0.9916666666666667,True,
monkeyM_session-o080521010-13_lfp-5,M,o080521010-13,5,47.0,low_gamma,-0.14089946150755295,0.11178936673913437,0.9,True,
monkeyM_session-o080521014-17_lfp-1,M,o080521014-17,1,16.0,beta,0.619260423878913,0.8395748954602364,1.0,True,
monkeyM_session-o080521014-17_lfp-1,M,o080521014-17,1,30.0,low_gamma,0.51421401094727,0.37181260288844586,0.9583333333333334,True,
monkeyM_session-o080521014-17_lfp-1,M,o080521014-17,1,47.0,low_gamma,-0.31829352390268806,0.11274507542817824,0.65,True,
monkeyM_session-o080521014-17_lfp-2,M,o080521014-17,2,5.0,theta,-0.03910387554022152,0.1592739419873854,1.0,True,
monkeyM_session-o080521014-17_lfp-2,M,o080521014-17,2,16.0,beta,0.5492701152847206,0.7654022861534342,1.0,True,
