lfp_uid,monkey,session_id,lfp_id,epoch,target,feature_set,status,accuracy,f1,n_classes,n_trials_balanced,per_class_n,torus_tau,torus_tau_ms,torus_embedding_dim,torus_param_source,torus_param_id
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,delay,torus_geometry_15,ok,0.5333333333333333,0.5324096981692232,2,90,45,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,1,post_go,condition,torus_geometry_15,ok,0.27380952380952384,0.26898404132446685,4,84,21,16,16.0,7,pertrace_unsupervised_movement_signal,pertrace_tau16_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,direction,torus_geometry_15,ok,0.5697674418604651,0.5683082349749016,2,86,43,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,delay,torus_geometry_15,ok,0.5555555555555556,0.5553359683794465,2,90,45,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,pre_go,condition,torus_geometry_15,ok,0.2976190476190476,0.29929801086919633,4,84,21,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,direction,torus_geometry_15,ok,0.5232558139534884,0.5231913455037187,2,86,43,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,delay,torus_geometry_15,ok,0.5555555555555556,0.5553359683794465,2,90,45,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,peri_go,condition,torus_geometry_15,ok,0.3333333333333333,0.3299519068730393,4,84,21,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,direction,torus_geometry_15,ok,0.6046511627906976,0.6037940379403794,2,86,43,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,delay,torus_geometry_15,ok,0.5111111111111111,0.5101434933201385,2,90,45,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,movement,condition,torus_geometry_15,ok,0.3333333333333333,0.3273596372000628,4,84,21,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,direction,torus_geometry_15,ok,0.5465116279069767,0.5464503042596349,2,86,43,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,delay,torus_geometry_15,ok,0.34444444444444444,0.3424148606811146,2,90,45,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2,post_go,condition,torus_geometry_15,ok,0.21428571428571427,0.2040971295957662,4,84,21,14,14.0,7,pertrace_unsupervised_movement_signal,pertrace_tau14_embed7
