lfp_uid,epoch,n_trials,n_samples_per_epoch
monkeyT_session-y070301002-6_lfp-8,movement,264,1000
monkeyT_session-y070301012-19_lfp-7,movement,359,1000
monkeyT_session-y070306001-5_lfp-5,movement,203,1000
monkeyT_session-y070306001-5_lfp-7,movement,203,1000
monkeyT_session-y070306006-11_lfp-5,movement,217,1000
monkeyT_session-y070306006-11_lfp-7,movement,217,1000
monkeyT_session-y070307002-6_lfp-5,movement,258,1000
monkeyT_session-y070307008-13_lfp-5,movement,277,1000
monkeyT_session-y070307014-16_lfp-5,movement,133,1000
monkeyT_session-y070308002-6_lfp-6,movement,255,1000
monkeyT_session-y070308014-17_lfp-5,movement,156,1000
monkeyT_session-y070312001-5_lfp-7,movement,265,1000
monkeyT_session-y070312001-5_lfp-8,movement,265,1000
monkeyT_session-y070312011-14_lfp-7,movement,160,1000
monkeyT_session-y070312011-14_lfp-8,movement,160,1000
monkeyT_session-y070314001-8_lfp-5,movement,213,1000
monkeyT_session-y070314001-8_lfp-7,movement,213,1000
monkeyT_session-y070315003-8_lfp-5,movement,253,1000
monkeyT_session-y070315003-8_lfp-6,movement,253,1000
monkeyT_session-y070315003-8_lfp-8,movement,253,1000
monkeyT_session-y070315009-14_lfp-5,movement,281,1000
monkeyT_session-y070315009-14_lfp-6,movement,281,1000
monkeyT_session-y070315009-14_lfp-7,movement,281,1000
monkeyT_session-y070315015-17_lfp-6,movement,142,1000
monkeyT_session-y070315015-17_lfp-7,movement,142,1000
monkeyT_session-y070316001-4_lfp-7,movement,256,1000
monkeyT_session-y070316001-4_lfp-8,movement,257,1000
monkeyT_session-y070316006-8_lfp-7,movement,273,1000
monkeyT_session-y070316006-8_lfp-8,movement,270,1000
monkeyT_session-y070316009-12_lfp-7,movement,404,1000
monkeyT_session-y070316009-12_lfp-8,movement,404,1000
monkeyT_session-y070412002-3_lfp-7,movement,88,1000
monkeyT_session-y070412004-6_lfp-5,movement,130,1000
monkeyT_session-y070412004-6_lfp-6,movement,130,1000
monkeyT_session-y070412004-6_lfp-7,movement,130,1000
monkeyT_session-y070412007-9_lfp-5,movement,124,1000
monkeyT_session-y070412007-9_lfp-6,movement,124,1000
monkeyT_session-y070412010-15_lfp-5,movement,270,1000
monkeyT_session-y070412010-15_lfp-6,movement,270,1000
monkeyT_session-y070412010-15_lfp-7,movement,270,1000
monkeyT_session-y070412010-15_lfp-8,movement,268,1000
monkeyT_session-y070412017-19_lfp-5,movement,90,1000
monkeyT_session-y070412017-19_lfp-6,movement,90,1000
monkeyT_session-y070412017-19_lfp-7,movement,90,1000
monkeyT_session-y070412017-19_lfp-8,movement,90,1000
monkeyT_session-y070413002-8_lfp-6,movement,301,1000
monkeyT_session-y070413009-13_lfp-5,movement,254,1000
monkeyT_session-y070413009-13_lfp-6,movement,254,1000
monkeyT_session-y070413009-13_lfp-7,movement,254,1000
monkeyT_session-y070413009-13_lfp-8,movement,254,1000
monkeyT_session-y070416003-7_lfp-5,movement,255,1000
monkeyT_session-y070416003-7_lfp-6,movement,255,1000
monkeyT_session-y070416009-13_lfp-5,movement,253,1000
monkeyT_session-y070416009-13_lfp-6,movement,253,1000
monkeyT_session-y070419002-5_lfp-5,movement,252,1000
monkeyT_session-y070419002-5_lfp-7,movement,252,1000
monkeyT_session-y070419007-8_lfp-5,movement,125,1000
monkeyT_session-y070419007-8_lfp-7,movement,125,1000
monkeyT_session-y070420002-5_lfp-5,movement,259,1000
monkeyT_session-y070420002-5_lfp-8,movement,259,1000
monkeyT_session-y070420006-10_lfp-5,movement,259,1000
monkeyT_session-y070420006-10_lfp-7,movement,259,1000
monkeyT_session-y070423002-6_lfp-5,movement,256,1000
monkeyT_session-y070423002-6_lfp-6,movement,256,1000
monkeyT_session-y070423008-14_lfp-5,movement,257,1000
monkeyT_session-y070423008-14_lfp-7,movement,255,1000
monkeyT_session-y070424001-6_lfp-5,movement,262,1000
monkeyT_session-y070424001-6_lfp-6,movement,262,1000
monkeyT_session-y070424001-6_lfp-7,movement,262,1000
