recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080522005-11_lfp-2,M,0,ok,1,3,14.0,1.342815237636996,10,86,[20.0],8.6,[],True
monkeyM_session-o080522005-11_lfp-2,M,1,ok,1,3,14.0,1.342815237636996,10,86,[20.0],8.6,[],True
monkeyM_session-o080522005-11_lfp-2,M,2,ok,1,3,14.0,1.342815237636996,10,86,[20.0],8.6,[],True
monkeyM_session-o080522005-11_lfp-2,M,3,ok,1,3,14.0,1.342815237636996,10,87,[20.0],8.7,[],True
monkeyM_session-o080522005-11_lfp-2,M,4,ok,1,3,14.0,1.342815237636996,10,87,[20.0],8.7,[],True
monkeyM_session-o080522012-21_lfp-1,M,0,ok,1,3,14.0,1.342815237636996,10,115,[20.0],11.5,[],True
monkeyM_session-o080522012-21_lfp-1,M,1,ok,1,3,14.0,1.342815237636996,10,115,[20.0],11.5,[],True
monkeyM_session-o080522012-21_lfp-1,M,2,ok,1,3,14.0,1.342815237636996,10,115,[20.0],11.5,[],True
monkeyM_session-o080522012-21_lfp-1,M,3,ok,1,3,14.0,1.342815237636996,10,115,[20.0],11.5,[],True
monkeyM_session-o080522012-21_lfp-1,M,4,ok,1,3,14.0,1.342815237636996,10,116,[20.0],11.6,[],True
monkeyM_session-o080522012-21_lfp-2,M,0,ok,2,5,13.0,2.015287367881673,36,115,"[20.0, 32.0]",3.1944444444444446,[],True
monkeyM_session-o080522012-21_lfp-2,M,1,ok,2,5,12.0,1.6748599317472852,36,115,"[20.0, 32.0]",3.1944444444444446,[],True
monkeyM_session-o080522012-21_lfp-2,M,2,ok,2,5,12.0,1.6748599317472852,36,115,"[20.0, 32.0]",3.1944444444444446,[],True
monkeyM_session-o080522012-21_lfp-2,M,3,ok,2,5,13.0,2.015287367881673,36,115,"[20.0, 32.0]",3.1944444444444446,[],True
monkeyM_session-o080522012-21_lfp-2,M,4,ok,2,5,13.0,2.015287367881673,36,116,"[20.0, 32.0]",3.2222222222222223,[],True
monkeyM_session-o080523010-18_lfp-4,M,0,ok,1,3,13.0,1.4058908842375653,10,72,[20.0],7.2,[],True
monkeyM_session-o080523010-18_lfp-4,M,1,ok,1,3,13.0,1.4058908842375653,10,72,[20.0],7.2,[],True
monkeyM_session-o080523010-18_lfp-4,M,2,ok,1,3,13.0,1.4058908842375653,10,72,[20.0],7.2,[],True
monkeyM_session-o080523010-18_lfp-4,M,3,ok,1,3,13.0,1.4058908842375653,10,72,[20.0],7.2,[],True
monkeyM_session-o080523010-18_lfp-4,M,4,ok,1,3,13.0,1.4058908842375653,10,72,[20.0],7.2,[],True
monkeyM_session-o080523010-18_lfp-8,M,0,ok,2,5,20.0,45.74878082672088,36,72,"[20.0, 28.0]",2.0,[],True
monkeyM_session-o080523010-18_lfp-8,M,1,ok,2,5,19.0,66.13800868874462,36,72,"[20.0, 32.0]",2.0,[],True
monkeyM_session-o080523010-18_lfp-8,M,2,ok,1,3,20.0,1.828015532346449,10,72,[20.0],7.2,[],True
monkeyM_session-o080523010-18_lfp-8,M,3,ok,1,3,17.0,1.050767566697384,10,72,[20.0],7.2,[],True
monkeyM_session-o080523010-18_lfp-8,M,4,ok,2,5,20.0,13.942924169066412,36,72,"[18.0, 28.0]",2.0,[],True
monkeyM_session-o080527006-16_lfp-1,M,0,ok,1,3,15.0,1.2324478204886462,10,115,[20.0],11.5,[],True
monkeyM_session-o080527006-16_lfp-1,M,1,ok,1,3,15.0,1.2324478204886462,10,115,[20.0],11.5,[],True
monkeyM_session-o080527006-16_lfp-1,M,2,ok,1,3,15.0,1.2324478204886462,10,115,[20.0],11.5,[],True
monkeyM_session-o080527006-16_lfp-1,M,3,ok,1,3,15.0,1.2324478204886462,10,115,[20.0],11.5,[],True
monkeyM_session-o080527006-16_lfp-1,M,4,ok,1,3,15.0,1.2324478204886462,10,116,[20.0],11.6,[],True
monkeyM_session-o080527006-16_lfp-2,M,0,ok,1,3,13.0,1.4058908842375653,10,115,[20.0],11.5,[],True
