recording,monkey,day,method,geometry_evaluable,macro_f1,n_trials
monkeyT_session-y070315009-14_lfp-6,T,2007-03-15,ktorus_power_frequency,True,0.19821885642688666,120
monkeyT_session-y070315009-14_lfp-6,T,2007-03-15,peak_frequency,True,0.1783640390617135,120
monkeyT_session-y070315009-14_lfp-6,T,2007-03-15,peak_power,True,0.18113588774485703,120
monkeyT_session-y070315009-14_lfp-6,T,2007-03-15,power_frequency,True,0.2280411746776219,120
monkeyT_session-y070315009-14_lfp-7,T,2007-03-15,all_bands,True,0.24204752399578414,120
monkeyT_session-y070315009-14_lfp-7,T,2007-03-15,ktorus,True,0.19550354003548356,120
monkeyT_session-y070315009-14_lfp-7,T,2007-03-15,ktorus_all_bands,True,0.22078340446447162,120
monkeyT_session-y070315009-14_lfp-7,T,2007-03-15,ktorus_power_frequency,True,0.24051712883735055,120
monkeyT_session-y070315009-14_lfp-7,T,2007-03-15,peak_frequency,True,0.16536862968931512,120
monkeyT_session-y070315009-14_lfp-7,T,2007-03-15,peak_power,True,0.19161219198266524,120
monkeyT_session-y070315009-14_lfp-7,T,2007-03-15,power_frequency,True,0.3355437728055212,120
monkeyT_session-y070316001-4_lfp-7,T,2007-03-16,all_bands,True,0.19982345274898464,126
monkeyT_session-y070316001-4_lfp-7,T,2007-03-16,ktorus,True,0.1743311606585761,126
monkeyT_session-y070316001-4_lfp-7,T,2007-03-16,ktorus_all_bands,True,0.23990480653037063,126
monkeyT_session-y070316001-4_lfp-7,T,2007-03-16,ktorus_power_frequency,True,0.28739620515936304,126
monkeyT_session-y070316001-4_lfp-7,T,2007-03-16,peak_frequency,True,0.20499377939051663,126
monkeyT_session-y070316001-4_lfp-7,T,2007-03-16,peak_power,True,0.12341192811323021,126
monkeyT_session-y070316001-4_lfp-7,T,2007-03-16,power_frequency,True,0.25369279772634046,126
monkeyT_session-y070316001-4_lfp-8,T,2007-03-16,all_bands,False,0.28901715896396746,126
monkeyT_session-y070316001-4_lfp-8,T,2007-03-16,peak_frequency,False,0.22765706515706516,126
monkeyT_session-y070316001-4_lfp-8,T,2007-03-16,peak_power,False,0.21521447165015783,126
monkeyT_session-y070316001-4_lfp-8,T,2007-03-16,power_frequency,False,0.2577699448090826,126
monkeyT_session-y070316006-8_lfp-7,T,2007-03-16,all_bands,True,0.26146603568963817,132
monkeyT_session-y070316006-8_lfp-7,T,2007-03-16,ktorus,True,0.2477344822778742,132
monkeyT_session-y070316006-8_lfp-7,T,2007-03-16,ktorus_all_bands,True,0.25644898836388197,132
monkeyT_session-y070316006-8_lfp-7,T,2007-03-16,ktorus_power_frequency,True,0.2730904540983088,132
monkeyT_session-y070316006-8_lfp-7,T,2007-03-16,peak_frequency,True,0.2295998617232737,132
monkeyT_session-y070316006-8_lfp-7,T,2007-03-16,peak_power,True,0.15563539656281591,132
monkeyT_session-y070316006-8_lfp-7,T,2007-03-16,power_frequency,True,0.29439732018362913,132
monkeyT_session-y070316006-8_lfp-8,T,2007-03-16,all_bands,True,0.19217849334128403,126
monkeyT_session-y070316006-8_lfp-8,T,2007-03-16,ktorus,True,0.17563418046228962,126
monkeyT_session-y070316006-8_lfp-8,T,2007-03-16,ktorus_all_bands,True,0.22491635032018273,126
monkeyT_session-y070316006-8_lfp-8,T,2007-03-16,ktorus_power_frequency,True,0.2549208878212059,126
monkeyT_session-y070316006-8_lfp-8,T,2007-03-16,peak_frequency,True,0.2199831999329442,126
monkeyT_session-y070316006-8_lfp-8,T,2007-03-16,peak_power,True,0.1501044278988765,126
monkeyT_session-y070316006-8_lfp-8,T,2007-03-16,power_frequency,True,0.28454501790115105,126
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,all_bands,True,0.22596628573771294,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus,True,0.1787744710038748,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_all_bands,True,0.24619043694633488,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,ktorus_power_frequency,True,0.22718208029328482,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_frequency,True,0.17143919031945695,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,peak_power,True,0.161540528610915,198
monkeyT_session-y070316009-12_lfp-7,T,2007-03-16,power_frequency,True,0.18602086954699307,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,all_bands,True,0.24433938760758234,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus,True,0.17117689473404726,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_all_bands,True,0.22083426262992825,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,ktorus_power_frequency,True,0.20901759475910264,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_frequency,True,0.2098234444065017,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,peak_power,True,0.22132361031424455,198
monkeyT_session-y070316009-12_lfp-8,T,2007-03-16,power_frequency,True,0.2728002394747803,198
monkeyT_session-y070412010-15_lfp-5,T,2007-04-12,all_bands,True,0.1940074687828218,132
monkeyT_session-y070412010-15_lfp-5,T,2007-04-12,ktorus,True,0.18764867858944514,132
monkeyT_session-y070412010-15_lfp-5,T,2007-04-12,ktorus_all_bands,True,0.21588628093805873,132
monkeyT_session-y070412010-15_lfp-5,T,2007-04-12,ktorus_power_frequency,True,0.21403344559320803,132
monkeyT_session-y070412010-15_lfp-5,T,2007-04-12,peak_frequency,True,0.21554053589191488,132
monkeyT_session-y070412010-15_lfp-5,T,2007-04-12,peak_power,True,0.16205566301310984,132
monkeyT_session-y070412010-15_lfp-5,T,2007-04-12,power_frequency,True,0.21322574769352245,132
monkeyT_session-y070412010-15_lfp-6,T,2007-04-12,all_bands,True,0.2269432699083862,132
monkeyT_session-y070412010-15_lfp-6,T,2007-04-12,ktorus,True,0.2232333668798779,132
monkeyT_session-y070412010-15_lfp-6,T,2007-04-12,ktorus_all_bands,True,0.17563894639981595,132
monkeyT_session-y070412010-15_lfp-6,T,2007-04-12,ktorus_power_frequency,True,0.24317252662997343,132
monkeyT_session-y070412010-15_lfp-6,T,2007-04-12,peak_frequency,True,0.21036514354012936,132
monkeyT_session-y070412010-15_lfp-6,T,2007-04-12,peak_power,True,0.1683627317955676,132
monkeyT_session-y070412010-15_lfp-6,T,2007-04-12,power_frequency,True,0.23782365676917638,132
monkeyT_session-y070412010-15_lfp-7,T,2007-04-12,all_bands,True,0.17009981786618855,132
monkeyT_session-y070412010-15_lfp-7,T,2007-04-12,ktorus,True,0.2147817442547916,132
monkeyT_session-y070412010-15_lfp-7,T,2007-04-12,ktorus_all_bands,True,0.24550429051113046,132
monkeyT_session-y070412010-15_lfp-7,T,2007-04-12,ktorus_power_frequency,True,0.243473474689643,132
monkeyT_session-y070412010-15_lfp-7,T,2007-04-12,peak_frequency,True,0.2022890754560058,132
monkeyT_session-y070412010-15_lfp-7,T,2007-04-12,peak_power,True,0.16680858879316104,132
monkeyT_session-y070412010-15_lfp-7,T,2007-04-12,power_frequency,True,0.19389034621324644,132
monkeyT_session-y070412010-15_lfp-8,T,2007-04-12,all_bands,True,0.22809521085945242,126
monkeyT_session-y070412010-15_lfp-8,T,2007-04-12,ktorus,True,0.1427076341760509,126
monkeyT_session-y070412010-15_lfp-8,T,2007-04-12,ktorus_all_bands,True,0.26011697967022324,126
monkeyT_session-y070412010-15_lfp-8,T,2007-04-12,ktorus_power_frequency,True,0.2487146271035372,126
monkeyT_session-y070412010-15_lfp-8,T,2007-04-12,peak_frequency,True,0.21775372515291122,126
monkeyT_session-y070412010-15_lfp-8,T,2007-04-12,peak_power,True,0.16784348864994025,126
monkeyT_session-y070412010-15_lfp-8,T,2007-04-12,power_frequency,True,0.24414243789243792,126
monkeyT_session-y070413002-8_lfp-6,T,2007-04-13,all_bands,True,0.19541168278102072,144
monkeyT_session-y070413002-8_lfp-6,T,2007-04-13,ktorus,True,0.19412400954032946,144
monkeyT_session-y070413002-8_lfp-6,T,2007-04-13,ktorus_all_bands,True,0.1902324835658169,144
monkeyT_session-y070413002-8_lfp-6,T,2007-04-13,ktorus_power_frequency,True,0.2313871112784156,144
monkeyT_session-y070413002-8_lfp-6,T,2007-04-13,peak_frequency,True,0.1598067848067848,144
monkeyT_session-y070413002-8_lfp-6,T,2007-04-13,peak_power,True,0.20926457745958782,144
monkeyT_session-y070413002-8_lfp-6,T,2007-04-13,power_frequency,True,0.3177238822400113,144
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,all_bands,True,0.22939739082949065,126
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,ktorus,True,0.11004505839743965,126
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,ktorus_all_bands,True,0.17746031746031743,126
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,ktorus_power_frequency,True,0.2144223960994147,126
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,peak_frequency,True,0.17348207348207348,126
monkeyT_session-y070413009-13_lfp-5,T,2007-04-13,peak_power,True,0.14924180198633005,126
