recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_frequency,True,3,0.0
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_frequency,True,4,0.15384615384615385
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_frequency,True,5,0.1111111111111111
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_frequency,True,6,0.2631578947368421
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_power,True,1,0.0
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_power,True,2,0.07142857142857142
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_power,True,3,0.358974358974359
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_power,True,4,0.34146341463414637
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_power,True,5,0.0
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,peak_power,True,6,0.23255813953488372
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,power_frequency,True,1,0.0
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,power_frequency,True,2,0.32432432432432434
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,power_frequency,True,3,0.20689655172413793
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,power_frequency,True,4,0.35
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,power_frequency,True,5,0.06896551724137931
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,power_frequency,True,6,0.2857142857142857
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,all_bands,True,1,0.058823529411764705
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,all_bands,True,2,0.08333333333333333
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,all_bands,True,3,0.17647058823529413
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,all_bands,True,4,0.06451612903225806
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,all_bands,True,5,0.0
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,all_bands,True,6,0.2702702702702703
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus,True,1,0.24242424242424243
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus,True,2,0.25
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus,True,3,0.12903225806451613
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus,True,4,0.2777777777777778
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus,True,5,0.12903225806451613
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus,True,6,0.3448275862068966
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_all_bands,True,1,0.07692307692307693
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_all_bands,True,2,0.29411764705882354
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_all_bands,True,3,0.125
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_all_bands,True,4,0.12121212121212122
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_all_bands,True,5,0.16666666666666666
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_all_bands,True,6,0.3225806451612903
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_power_frequency,True,1,0.06451612903225806
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_power_frequency,True,2,0.3125
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_power_frequency,True,3,0.0
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_power_frequency,True,4,0.2222222222222222
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_power_frequency,True,5,0.2
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus_power_frequency,True,6,0.3125
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,peak_frequency,True,1,0.2777777777777778
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,peak_frequency,True,2,0.3829787234042553
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,peak_frequency,True,3,0.0
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,peak_frequency,True,4,0.12903225806451613
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,peak_frequency,True,5,0.0
