,normalized_3d_set_error,normalized_3d_set_error,rms_3d_set_distance,rms_3d_set_distance,mean_3d_set_distance,mean_3d_set_distance,native_mse,native_mse,native_mean_error,native_mean_error,native_frac_inside,native_frac_inside,native_r_squared,native_r_squared,native_hole_quality,native_hole_quality,native_frac_in_hole,native_frac_in_hole
model,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus
original_trial_number,,,,,,,,,,,,,,,,,,
131,0.245444521638814,0.0011803183301714,0.8370592642549755,0.0580469107667425,0.6427393230532484,0.0143327649718759,0.7006682118750808,0.0033694438495621,0.0093017974165096,0.0143327649718759,0.8931623931623932,0.908119658119658,0.9994970728939898,0.9988196816698284,0.1995632781439129,0.0054697275572558,0.0705128205128205,0.0576923076923076
137,0.1990708390869324,0.0014505398247576,0.6874759898909767,0.0586838421141526,0.5861496677566208,0.0167323424400925,0.4726232366765783,0.0034437933252787,0.0093494917271525,0.0167323424400925,0.9123931623931624,0.8717948717948718,0.999408726921614,0.9985494601752424,0.1230899625138581,0.0677108865649179,0.0534188034188034,0.0918803418803418
142,0.1605506950899944,0.000979386879607,0.6330142155141416,0.0494406883604821,0.5102221609411254,0.0163484136930506,0.400706997042984,0.0024443816655583,0.0101392421568726,0.0163484136930506,0.8782051282051282,0.8418803418803419,0.9994873865804944,0.999020613120393,0.189598375954065,0.0841335639701253,0.0726495726495726,0.0897435897435897
143,0.2646213569622863,0.0013332819938522,0.8494329803727877,0.0602944974844338,0.6846315051511216,0.0157032833536265,0.7215363881449967,0.0036354264269003,0.0120061573201458,0.0157032833536265,0.9123931623931624,0.8910256410256411,0.9990487921964604,0.9986667180061476,0.2078474767584398,-0.0016385851374356,0.0534188034188034,0.0641025641025641
144,0.3175509301564879,0.000989159602304,0.9903950642630464,0.0552757900196237,0.8023923359616101,0.0150124462832409,0.980882383316604,0.0030554129622935,0.0111676832290978,0.0150124462832409,0.8867521367521367,0.8760683760683761,0.9994513245657486,0.999010840397696,0.1952319171357061,-0.0358625714816429,0.0683760683760683,0.1089743589743589
147,0.231135435234598,0.0011772593961631,0.8097543628090901,0.0577904549315158,0.6468839904893455,0.0136843407355144,0.6557021280883555,0.0033397366811915,0.009974015237518,0.0136843407355144,0.9316239316239316,0.8910256410256411,0.9993233064240916,0.9988227406038368,0.169821927494922,0.0182908855804864,0.0384615384615384,0.0918803418803418
150,0.1829262285293398,0.0009173206132047,0.7353645027272783,0.0520745167082946,0.6136019992986937,0.0147060696666729,0.5407609518713373,0.0027117552904024,0.0073634689509389,0.0147060696666729,0.8888888888888888,0.8782051282051282,0.999750811528866,0.9990826793867952,0.0971522856870225,0.043675825096941,0.0811965811965812,0.0769230769230769
152,0.2572116873540865,0.0010365874584822,0.791415932851709,0.0502414789390547,0.6393006455411562,0.0156989598917868,0.6263391787715407,0.0025242062059834,0.0107152806216045,0.0156989598917868,0.8995726495726496,0.8568376068376068,0.9993103458401148,0.9989634125415178,0.1328632915731179,0.0301627868240665,0.0555555555555555,0.0982905982905982
156,0.2430955127850855,0.0009540041051827,0.9123954652107212,0.057157045106145,0.7298343078065629,0.0149128961104396,0.8324654849370886,0.0032669278052659,0.0086486011669035,0.0149128961104396,0.9188034188034188,0.8910256410256411,0.9995805088194047,0.9990459958948172,0.1644011647919266,-0.0006008409160693,0.0384615384615384,0.0897435897435897
157,0.2388468506863707,0.0007042572970537,0.8882429435656565,0.0482322680190475,0.7679667185769934,0.0143934267697154,0.7889755267941819,0.0023263516782612,0.010191826183295,0.0143934267697154,0.9102564102564102,0.8867521367521367,0.9994934860108428,0.9992957427029462,0.1403257492984138,0.0482646148632003,0.0555555555555555,0.0705128205128205
