resample_index,peak_power,peak_frequency,power_frequency,all_bands,geometry
198,0.18277082562982996,0.20130316219025898,0.23120484572097474,0.22415233512007704,0.26372331561471457
199,0.15220626419075406,0.18823775691499614,0.20338712417330643,0.24064297216471128,0.2371501608062798
200,0.15892927179040597,0.19677894255577325,0.19705748369317563,0.20778129911236357,0.23933694777829043
201,0.1685486832272934,0.24708152282376009,0.23314677649716012,0.25916230791617156,0.2149923668018127
202,0.17957734853522936,0.1373496228147391,0.1552991288189729,0.18515611291669085,0.2480949049022606
203,0.17013096673976327,0.15983199724522715,0.14145426372235503,0.2229719602951132,0.23346238290162277
204,0.20834995305478266,0.21897663725979766,0.2200088318680142,0.2339069626858554,0.23286837769659408
205,0.13311846204163919,0.12746077962429864,0.20052858658978132,0.23586880955302006,0.20442345179187282
206,0.1430214424951267,0.17080690283089262,0.15798706419106773,0.18354636560275037,0.18343391365779427
207,0.17565781025406332,0.1423987182597912,0.19281665838869233,0.23645486067568958,0.2259249964262515
208,0.17593797606684927,0.13522896628840492,0.16825076183948437,0.20879195233070844,0.21486706622248794
209,0.14588155452418441,0.1677695275882388,0.21219001171643245,0.20409644690082074,0.21143824418998894
210,0.15123936088924803,0.1870236926399571,0.16916049978549977,0.2193794355686939,0.22007510294292354
211,0.1723614529160277,0.16059902162666684,0.1653927398884848,0.26722486972480547,0.1849664559224463
212,0.13385916528773673,0.18933401591142843,0.21804423392661398,0.24972619972619978,0.19767767554652801
213,0.1396407047363157,0.19810398185048325,0.1987828467049595,0.22909681611435997,0.24928038379530915
214,0.14308919649126087,0.17537682029207455,0.1582423036159343,0.2608466276521832,0.2086978518057285
215,0.16654615780471563,0.15248142300184425,0.17587674296702316,0.21782785505832314,0.2361430819128559
216,0.13157683071268175,0.16449372589723465,0.16369791005142278,0.2163849752680337,0.21660590889112222
217,0.12811762393372084,0.21521697031854034,0.1678744760238818,0.17606615561791225,0.20522194101456315
218,0.15856448376887608,0.19924603141502947,0.2020148296195381,0.20270803370650214,0.21231338463846003
219,0.22095026044605878,0.16755612330263372,0.2459678442130445,0.26112775839830227,0.24135015825420622
220,0.14039563193698532,0.18332750582750587,0.1456521739130435,0.22512680422981637,0.21365659803159806
221,0.17545982518921613,0.1276929816724425,0.15516715530197636,0.22384843644486,0.25371263034610186
222,0.11115201354803524,0.17712722296323716,0.1805283862740108,0.2054887290387393,0.20311792710975105
223,0.17567032832237572,0.19714718858334365,0.1473722428552077,0.18936079100013528,0.24463823643733687
224,0.1529712102485987,0.10834748618046443,0.18626246822627737,0.23222498846051529,0.2242671656671478
225,0.14351577856374506,0.16435691099216967,0.1831370741480702,0.19629078909397712,0.2333253082043405
