row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,status,failure_reason,elapsed_seconds,centered_rms,geometry_usable,R1,R2,longest_H1_lifetime,normalized_H1_lifetime,H0_intervals,H0_infinite,H1_intervals,H1_infinite,H2_intervals,H2_infinite,plot_x
114,116,361,4,1,short,success,,11.489849279052578,1.6191700575476589,True,4.014403932263308,1.2607029519404704,0.8494652509689331,0.5246300393273731,494,1,152,0,9,0,3.8839162222966093
115,111,283,4,3,short,success,,10.545428954064846,1.8436562269053487,True,4.448450663072848,1.4655677297002574,0.67207270860672,0.3645325515672848,494,1,148,0,4,0,3.9686988694568743
116,123,511,4,2,short,success,,11.76928313006647,1.739110540329068,True,4.480659414861992,1.4420171201197796,0.86032834649086,0.4946944581958959,494,1,132,0,11,0,3.9004406794711546
117,120,206,4,4,short,success,,13.211893512983806,1.9529385727098043,True,5.758215452789354,2.0465845923372914,1.051669180393219,0.5385060211770885,494,1,154,0,6,0,3.8235202208722705
118,117,520,4,2,short,success,,12.242249367991462,1.8034451595161611,True,4.522581738112112,1.4181649629632378,0.6981206834316254,0.3871039159399342,494,1,137,0,6,0,3.8349502656837715
119,124,119,4,0,short,success,,12.506926475092769,1.9840082200218483,True,4.78600351339852,1.5733430410568694,0.945964813232422,0.4767948054277742,494,1,159,0,16,0,4.151150830000478
120,112,85,4,0,short,success,,12.89046728296671,1.982794019257012,True,4.776232395642039,1.3259245394462882,0.7116223871707916,0.358898796475818,494,1,137,0,2,0,3.9779800360531694
121,132,199,4,3,short,success,,16.00145896500908,1.7726616174368617,True,3.881717667670232,1.0524066838337198,0.644869938492775,0.3637862591198931,494,1,128,0,13,0,4.050269442197706
122,107,536,4,0,short,success,,11.293463322916068,1.6784094113654169,True,3.728864693443359,1.422932694698654,0.5594841539859772,0.3333418832124079,494,1,174,0,12,0,4.041907834112731
123,118,339,4,1,short,success,,12.917853330960495,1.5673591852991051,True,3.80505637442287,1.2494938102746194,1.0428500175476074,0.6653548384626312,494,1,127,0,5,0,3.9203084710474507
124,104,701,4,0,short,success,,11.023180395946838,1.5606017006902455,True,3.767563026906073,1.255785732382655,0.7679324746131897,0.492074610884723,494,1,177,0,5,0,4.171855535078248
125,131,704,4,4,short,success,,12.358261149027385,1.694337437945875,True,4.011820497292743,1.0737799056215012,0.7195055484771729,0.42465304275485,494,1,148,0,5,0,3.8461052313422237
126,108,592,4,3,short,success,,14.562441478017718,1.5567015119997183,True,3.846071511088664,1.2614246195027268,1.7040981650352478,1.094685237920907,494,1,125,0,5,0,4.130882167727715
127,122,440,4,1,short,success,,10.922144685056992,1.4529102156057407,True,3.0908569917067177,1.1787983620285536,0.3298589587211609,0.2270332710019783,494,1,150,0,3,0,3.8673869368292957
128,130,388,4,3,short,success,,8.151666395016946,1.4257084509593911,True,2.9716342316163447,1.1105558177771349,0.4278458803892135,0.3000935290110025,494,1,144,0,8,0,4.09051858822897
129,126,121,4,1,short,success,,12.436769554042256,1.7152401530507704,True,4.104633802715354,1.472112368998294,0.6188729703426361,0.3608083505052588,494,1,179,0,10,0,4.0852649961959235
130,129,291,4,1,short,success,,10.834276332054287,1.5176571115976245,True,3.6237615427211742,1.1905286163792397,0.5629306137561798,0.3709208156798921,494,1,163,0,6,0,4.016395541055065
131,128,573,4,4,short,success,,10.993085743044505,1.6361338863411112,True,3.55699376075182,1.1332771238839283,0.4993237555027008,0.3051851438755659,494,1,139,0,5,0,3.97892593638925
132,164,705,5,2,short,success,,11.299904876970686,1.6705198117882174,True,3.701714977070394,1.52909871264833,0.6135246753692627,0.3672657283318967,494,1,177,0,8,0,4.8646404109278265
133,158,45,5,4,short,success,,7.888602543971501,1.4134367558914265,True,2.6057419231845667,1.0578640183880152,0.5190397053956985,0.3672182028889935,494,1,157,0,3,0,4.8930406258709045
134,136,410,5,0,short,success,,10.519914634060116,1.250450720287107,True,2.878743099669464,0.9701321186693664,0.6408684849739075,0.5125099890595948,494,1,144,0,6,0,5.0839580536010445
135,169,142,5,3,short,success,,11.379365258966573,1.589452072339143,True,3.471637999298065,1.2635079951058814,0.3707436919212341,0.2332525141041989,494,1,165,0,6,0,4.8786980335021966
136,166,706,5,3,short,success,,9.970770688960329,1.3941341414232793,True,3.0169155329808754,0.9397512660384856,0.3666671365499496,0.2630070705933771,494,1,164,0,2,0,4.9525173675314855
137,165,328,5,1,short,success,,11.474110709037632,1.7038729228061245,True,4.218505777026001,1.4720073425728315,0.6232632398605347,0.3657920913691594,494,1,167,0,5,0,5.13621929986859
138,154,143,5,3,short,success,,9.485812218976209,1.652086090722345,True,3.6075676760503255,1.1640158362417636,0.4113926291465759,0.2490140383463321,494,1,150,0,3,0,5.027282675825957
139,145,44,5,2,short,success,,9.77017288398929,1.6274388511443905,True,3.541409238102432,1.3342762490314173,0.445920467376709,0.274001365435724,494,1,176,0,13,0,5.092880085529057
140,139,164,5,4,short,success,,10.388972681947052,1.4435536669874032,True,3.119508327780789,1.0805581999902865,0.4327782988548279,0.2998006300368495,494,1,166,0,5,0,4.957930034822936
141,152,560,5,2,short,success,,14.543039347045124,1.8762862521159864,True,4.73718308779593,1.1773879003482877,0.8044310808181763,0.4287357965294353,494,1,156,0,5,0,4.858250915534078
