row_index,original_trial_number,direction,homology_dimension,interval,birth,death,lifetime
39,10,2,0,459,0.0,0.3407913148403168,0.3407913148403168
39,10,2,0,460,0.0,0.3447785377502441,0.3447785377502441
39,10,2,0,461,0.0,0.3460153341293335,0.3460153341293335
39,10,2,0,462,0.0,0.3543153405189514,0.3543153405189514
39,10,2,0,463,0.0,0.3559582531452179,0.3559582531452179
39,10,2,0,464,0.0,0.3570005297660827,0.3570005297660827
39,10,2,0,465,0.0,0.3582842946052551,0.3582842946052551
39,10,2,0,466,0.0,0.363288015127182,0.363288015127182
39,10,2,0,467,0.0,0.3705416619777679,0.3705416619777679
39,10,2,0,468,0.0,0.3840008974075317,0.3840008974075317
39,10,2,0,469,0.0,0.3846486210823059,0.3846486210823059
39,10,2,0,470,0.0,0.3896525800228119,0.3896525800228119
39,10,2,0,471,0.0,0.3943451642990112,0.3943451642990112
39,10,2,0,472,0.0,0.3970832824707031,0.3970832824707031
39,10,2,0,473,0.0,0.3972384035587311,0.3972384035587311
39,10,2,0,474,0.0,0.3989200294017792,0.3989200294017792
39,10,2,0,475,0.0,0.4194574952125549,0.4194574952125549
39,10,2,0,476,0.0,0.4322157204151153,0.4322157204151153
39,10,2,0,477,0.0,0.4478960335254669,0.4478960335254669
39,10,2,0,478,0.0,0.452437549829483,0.452437549829483
39,10,2,0,479,0.0,0.4848386645317077,0.4848386645317077
39,10,2,0,480,0.0,0.4997546970844269,0.4997546970844269
39,10,2,0,481,0.0,0.5052435994148254,0.5052435994148254
39,10,2,0,482,0.0,0.5172315835952759,0.5172315835952759
39,10,2,0,483,0.0,0.5291347503662109,0.5291347503662109
39,10,2,0,484,0.0,0.5346749424934387,0.5346749424934387
39,10,2,0,485,0.0,0.5579137206077576,0.5579137206077576
39,10,2,0,486,0.0,0.5613768696784973,0.5613768696784973
39,10,2,0,487,0.0,0.5977306365966797,0.5977306365966797
39,10,2,0,488,0.0,0.6165125370025635,0.6165125370025635
