row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_40Hz_log10_peak_psd,12_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
169,189,24,6,3,short,4.792750211429368,23.3,3.4986303871040505,4.678119046266792,5.094955910702171,5.507175867327221,5.391913838932315
170,188,642,6,0,short,4.801292315607075,22.700000000000003,4.0549916683388005,3.5637307548151145,4.555824548466004,5.692587904374073,5.303350651009669
171,196,527,6,1,short,4.645925215763162,21.400000000000002,4.220016271379532,4.476254012578788,4.411819403493216,5.533510219246519,5.4227093463737885
172,192,539,6,2,short,5.009180130408968,22.1,4.575534303340364,4.051722865987786,4.491548927275328,5.8121007529346,5.37264588821674
173,178,129,6,1,short,4.983683761830918,19.1,3.539814424078166,4.212156840006973,4.463721502021959,5.947521346330424,5.319993214162565
174,174,458,6,3,short,4.7791683643831,23.1,4.139895761968745,4.551060687422039,4.3407658725366,5.769478549445336,5.3275516229455135
175,190,258,6,4,short,4.910498603560045,21.900000000000002,3.66265533275505,4.3014567819488745,4.774223295545566,5.8219028875179255,5.232085558491487
176,176,438,6,3,short,4.907719245634662,23.8,4.0019780072304565,4.449017129951835,4.308030393857372,5.822566324663211,5.520537825494084
177,193,290,6,1,short,4.328629189872643,25.1,4.058759295356886,5.171611575491039,4.746575880003174,5.326135344898277,5.340773522075756
178,182,289,6,0,short,4.687657787109524,19.1,4.12690694739298,4.110627430343901,5.266723725632631,5.805458096804224,5.116955411722574
179,175,617,6,3,short,4.548107802988992,24.1,4.242562852976857,3.855037810031486,4.305927282087037,5.300018771643682,5.407661436473638
180,172,292,6,2,short,4.912399291618407,24.200000000000003,3.7133863997596035,4.787393005038359,5.121301338075371,5.8427447353927775,5.455781220346209
181,180,90,6,1,short,4.950086602787917,19.900000000000002,4.482716561634599,4.788379886477459,4.713386592301842,5.925306032529674,5.409735092178808
182,199,67,6,4,short,4.6362046722791534,20.3,2.8899170940934873,3.4859982338791,4.448316749634504,5.533565666107315,5.022008639389716
183,170,483,6,4,short,4.5911181438068995,26.0,3.8647063556342056,3.8616146881862288,4.440093118619626,5.420037727663515,5.298053365135152
184,194,113,6,0,short,4.8528594450183915,22.900000000000002,3.875123892003104,3.98338650552522,4.694139351188388,5.7698775807102285,5.297350408882613
