row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,12_25Hz_log10_peak_psd,25_40Hz_log10_peak_psd,12_25Hz_peak_frequency_hz,25_40Hz_peak_frequency_hz,delta_2_4Hz_log10_integrated_power,theta_4_8Hz_log10_integrated_power,alpha_8_13Hz_log10_integrated_power,beta_13_30Hz_log10_integrated_power,low_gamma_30_55Hz_log10_integrated_power
133,163,557,5,3,short,5.238085246753402,6.037061895245208,23.700000000000003,31.6,5.258252326591323,5.471899691329758,5.541748591899478,6.386647979859375,6.879707668729606
134,169,255,5,0,short,4.981651771233847,5.938796612939634,21.700000000000003,31.8,4.792516834831836,5.093754117239496,5.604245069858934,6.3272271805923985,6.630075640635803
135,154,338,5,2,short,5.554114093508211,5.5783514665882485,16.7,26.0,5.807722300838881,5.7646275445995645,5.372202925766332,6.569537129206569,6.322140115481387
136,168,227,5,1,short,5.259210154244078,5.8593049686515055,13.100000000000001,31.400000000000002,5.793083893988719,5.797612331390087,5.856757422967666,6.610518699668569,6.69638666598895
137,175,194,5,2,short,4.889064635899985,5.8422386984368915,21.5,31.1,5.461095563073093,5.196109631046623,5.024804308590295,5.954882890909283,6.737347485848271
138,159,335,5,2,short,5.315158850949623,5.529258544957431,20.700000000000003,29.400000000000002,5.713608586286739,5.669313828835858,5.6088916608910635,6.459870868480908,6.129117260308642
139,143,429,5,3,short,6.03300828104804,6.554277029563194,25.0,28.900000000000002,5.121957089453992,5.3168479238184085,5.621134534745858,7.361029733926216,6.9242278950390626
140,155,225,5,0,short,5.582535899638775,5.82642580690735,13.200000000000001,33.5,5.7697363226637295,6.589104338766499,6.118639137055635,6.683296313706537,6.676289211048401
141,156,766,5,0,short,5.625219173685191,5.999020969339088,15.600000000000001,30.700000000000003,5.483828548369837,4.991951609390156,5.536189822174744,6.658347787151543,6.575620271258744
142,153,769,5,3,short,5.435608512712461,5.420437655059462,12.0,32.9,4.46628369392404,5.8804556789389615,6.328221697953715,6.445955662190281,6.6027729771437444
143,151,36,5,4,short,5.719225198585938,6.05040602792212,25.0,29.5,4.9354636265161576,6.027913056140954,5.891692451028122,7.001949249633404,6.7139944568249
144,142,646,5,4,short,5.8230720402249,6.040142719363165,15.700000000000001,28.8,5.461921289549621,5.683312473984902,6.298647152592696,6.922353908325024,6.741767186617239
145,172,53,5,1,short,5.0687734710993375,5.340986373224338,12.0,38.800000000000004,5.728818343481566,5.1636890282738355,5.6436639262543755,5.822925903449598,6.356870826009177
146,167,286,5,0,short,5.389928532111662,5.698709066007252,25.0,27.8,4.847921030794839,5.8282584236098085,5.677196574110935,6.293901953016362,6.443617344265189
147,141,601,5,0,short,5.667522914909022,5.579206258639521,16.1,32.4,5.737814050973015,5.863490492921389,6.096753905938265,6.601904824743729,6.533822382447245
148,144,476,5,1,short,5.413935678636586,5.645208006419847,18.3,34.9,5.30544719709456,5.643276450538286,5.7446474239927605,6.484544371336496,6.355813595507438
149,173,137,5,2,short,4.961370897675286,5.388351319223442,17.2,30.6,5.691233383568048,5.993623465593688,5.517672505474383,6.04148359941263,5.950033639738794
150,164,511,5,2,short,5.300769182764346,5.952178391070807,12.0,33.9,5.6234011752564745,5.4660171131168145,5.963991838128164,6.075650312733139,6.687866510107173
151,166,139,5,1,short,5.289616294680855,6.283012025830657,25.0,30.5,5.72550923856861,5.310042837915358,5.620462305171731,6.640676294410643,6.8955637619306165
152,174,412,5,3,short,5.565669243506282,5.3950672656148875,22.700000000000003,25.0,4.652844350078339,4.975328631788613,5.137730575568744,6.554313988541329,6.226323611786479
153,148,627,5,4,short,5.9165344185751785,6.394230009759893,25.0,30.400000000000002,6.16280227036862,5.682140130508953,6.2746337120248015,7.03730289868731,7.12377450694586
154,150,652,5,4,short,5.474797511056112,5.918215028721464,12.0,34.300000000000004,5.661174765101791,6.087920335170555,6.007472546714711,6.459722567537231,6.624744991530755
155,157,281,5,2,short,5.488498529703899,5.718684870879045,20.3,30.700000000000003,4.949744779118687,6.315750702401597,5.6286425300573475,6.422149669072361,6.481736206751582
156,165,397,5,3,short,5.425090986007609,6.122442051273564,19.3,29.200000000000003,4.868051450278162,6.021360542152774,5.914893716183233,6.793782519702235,6.651060156234159
157,160,341,5,4,short,5.410298727592503,5.758706335380482,12.0,33.300000000000004,5.070771956727431,5.877463769920744,6.086942383725723,6.366861383314235,6.454807173366822
158,161,737,5,0,short,5.452472532654829,6.554140631518662,15.4,29.8,5.286983238649513,5.92688297055396,5.463057686108952,7.0398634786110295,6.916546357804729
159,171,6,5,2,short,5.104202611834642,6.10950134158063,18.1,31.0,5.079595284629436,4.999325336481083,5.067915116710683,6.392773504322572,6.88693340978213
160,152,327,5,3,short,5.230576797391483,5.398467983053257,25.0,32.300000000000004,5.382778233262575,4.444945235021076,5.58895442554728,6.335915795784975,6.380550635109852
