session_id,feature_set,status,accuracy,macro_f1,f1_wake,f1_nrem,f1_rem,wake_count,nrem_count,rem_count
session_m0300_0360,low_gamma,ok,0.7066666666666667,0.701226309921962,0.6923076923076923,0.8461538461538461,0.5652173913043478,1005,770,25
session_m0300_0360,all_torus_15,ok,0.72,0.7224242424242425,0.7272727272727273,0.8,0.64,1005,770,25
session_m0360_0420,delta,ok,0.4928774928774929,0.4651278905858395,0.48559670781893,0.6570397111913358,0.2527472527472527,619,1064,117
session_m0360_0420,theta,ok,0.452991452991453,0.431561266451791,0.5217391304347826,0.2430939226519337,0.5298507462686567,619,1064,117
session_m0360_0420,alpha,ok,0.3133903133903133,0.2878090685204407,0.2938775510204082,0.4232081911262799,0.1463414634146341,619,1064,117
session_m0360_0420,sigma,ok,0.3874643874643874,0.3666171628014396,0.4516129032258064,0.2360248447204969,0.4122137404580153,619,1064,117
session_m0360_0420,beta,ok,0.5783475783475783,0.5716318447963734,0.6294820717131474,0.6835443037974683,0.4018691588785046,619,1064,117
session_m0360_0420,low_gamma,ok,0.6809116809116809,0.6761789575708962,0.6639344262295082,0.8416666666666667,0.5229357798165137,619,1064,117
session_m0360_0420,all_torus_15,ok,0.7150997150997151,0.7119479486527541,0.6844444444444444,0.8340080971659919,0.6173913043478261,619,1064,117
session_m0420_0480,delta,ok,0.4453781512605042,0.4249955759678341,0.3859649122807017,0.593103448275862,0.2959183673469387,792,889,119
session_m0420_0480,theta,ok,0.4677871148459384,0.4361201377579402,0.546875,0.192090395480226,0.5693950177935944,792,889,119
session_m0420_0480,alpha,ok,0.4145658263305322,0.3831788627569842,0.4719101123595505,0.4946996466431095,0.1829268292682926,792,889,119
session_m0420_0480,sigma,ok,0.3977591036414565,0.3739373521365941,0.4411764705882353,0.216867469879518,0.463768115942029,792,889,119
session_m0420_0480,beta,ok,0.5742296918767507,0.5597356605640829,0.6840148698884758,0.6090534979423868,0.3861386138613861,792,889,119
session_m0420_0480,low_gamma,ok,0.6498599439775911,0.6467619726529684,0.7054263565891473,0.7304347826086957,0.504424778761062,792,889,119
session_m0420_0480,all_torus_15,ok,0.7170868347338936,0.7176627022344994,0.7160493827160493,0.7982832618025751,0.6386554621848739,792,889,119
session_m0480_0540,delta,ok,0.4958333333333333,0.4802165705780163,0.3181818181818182,0.6043956043956044,0.5180722891566265,895,825,80
session_m0480_0540,theta,ok,0.5208333333333334,0.515722747669098,0.6463414634146342,0.3862068965517241,0.5146198830409356,895,825,80
session_m0480_0540,alpha,ok,0.4041666666666667,0.355271432582357,0.4717948717948718,0.4919786096256685,0.1020408163265306,895,825,80
session_m0480_0540,sigma,ok,0.3541666666666667,0.2972402371651433,0.0454545454545454,0.4313725490196078,0.4148936170212766,895,825,80
session_m0480_0540,beta,ok,0.5541666666666667,0.5477711324586666,0.6127167630057804,0.6792452830188679,0.3513513513513513,895,825,80
session_m0480_0540,low_gamma,ok,0.7375,0.7391821440208536,0.703030303030303,0.864516129032258,0.65,895,825,80
session_m0480_0540,all_torus_15,ok,0.7416666666666667,0.7442179433241689,0.7133757961783439,0.864516129032258,0.6547619047619048,895,825,80
session_m0540_0600,delta,ok,0.5148148148148148,0.5055898196041034,0.3536585365853658,0.676923076923077,0.4861878453038674,955,755,90
