feature,stage,x,density
R1,0,3.1437249085619765,0.3185952578379432
R1,0,3.162179777454636,0.3267478822530523
R1,0,3.1806346463472943,0.33485770048678365
R1,0,3.1990895152399537,0.34290190919668
R1,0,3.217544384132613,0.35085713603151697
R1,0,3.2359992530252715,0.35869961708902903
R1,0,3.254454121917931,0.36640538478350687
R1,0,3.27290899081059,0.3739504639068181
R1,0,3.2913638597032486,0.38131107345940407
R1,0,3.309818728595908,0.38846383165363163
R1,0,3.3282735974885673,0.3953859613552185
R1,0,3.346728466381226,0.4020554931333389
R1,0,3.365183335273885,0.4084514630400505
R1,0,3.3836382041665436,0.41455410223758493
R1,0,3.402093073059203,0.4203450156398962
R1,0,3.4205479419518623,0.42580734683367544
R1,0,3.4390028108445208,0.4309259266941521
R1,0,3.45745767973718,0.43568740331144334
R1,0,3.4759125486298394,0.44008035109234417
R1,0,3.494367417522498,0.44409535719726034
R1,0,3.5128222864151573,0.44772508380876
R1,0,3.5312771553078166,0.4509643051019742
R1,0,3.549732024200475,0.45380991819208066
R1,0,3.5681868930931344,0.4562609277636085
R1,0,3.5866417619857938,0.4583184045328408
R1,0,3.6050966308784522,0.45998541814996485
R1,0,3.6235514997711116,0.4612669456031348
R1,0,3.64200636866377,0.46216975663307075
R1,0,3.6604612375564294,0.4627022780949607
R1,0,3.6789161064490887,0.4628744396047569
R1,0,3.697370975341747,0.4626975031703608
R1,0,3.7158258442344065,0.4621838798257324
R1,0,3.734280713127066,0.46134693654951553
R1,0,3.7527355820197243,0.46020079695189214
R1,0,3.7711904509123837,0.4587601393478249
R1,0,3.789645319805043,0.4570399958965374
R1,0,3.8081001886977015,0.45505555647250157
R1,0,3.826555057590361,0.4528219808404451
R1,0,3.84500992648302,0.45035422253583357
R1,0,3.8634647953756787,0.4476668676047433
R1,0,3.881919664268338,0.4447739910366702
R1,0,3.9003745331609965,0.4416890333363874
R1,0,3.918829402053656,0.43842469923392
R1,0,3.937284270946315,0.4349928800344781
R1,0,3.9557391398389736,0.43140460057365637
R1,0,3.974194008731633,0.4276699911797316
R1,0,3.9926488776242923,0.4237982844678695
R1,0,4.011103746516951,0.4197978362146209
R1,0,4.02955861540961,0.4156761689998723
R1,0,4.0480134843022695,0.41144003677187196
R1,0,4.066468353194928,0.407095508003213
R1,0,4.084923222087587,0.40264806467494396
R1,0,4.103378090980246,0.398102713964202
R1,0,4.121832959872905,0.39346410922821357
R1,0,4.1402878287655644,0.3887366766824006
R1,0,4.158742697658223,0.3839247440685622
R1,0,4.177197566550882,0.3790326676040093
R1,0,4.195652435443542,0.3740649535947552
R1,0,4.2141073043362,0.3690263712831859
R1,0,4.232562173228859,0.363922053778147
R1,0,4.251017042121519,0.3587575842754315
R1,0,4.269471911014177,0.35353906520919254
R1,0,4.287926779906837,0.34827316846748624
R1,0,4.306381648799496,0.3429671653439995
R1,0,4.324836517692154,0.3376289354674076
R1,0,4.343291386584814,0.3322669545334409
R1,0,4.361746255477472,0.32689026124574977
R1,0,4.3802011243701315,0.32150840443336737
R1,0,4.398655993262791,0.316131371838982
R1,0,4.417110862155449,0.31076950254847047
R1,0,4.435565731048109,0.30543338544501913
R1,0,4.454020599940768,0.3001337464095251
R1,0,4.4724754688334265,0.2948813272440714
R1,0,4.490930337726086,0.28968675946110045
R1,0,4.509385206618745,0.2845604361541651
R1,0,4.527840075511404,0.2795123851466343
R1,0,4.546294944404063,0.27455214650497356
R1,0,4.5647498132967215,0.26968865730866054
R1,0,4.583204682189381,0.2649301462973335
R1,0,4.60165955108204,0.2602840406776106
R1,0,4.6201144199746995,0.2557568869792285
R1,0,4.638569288867358,0.25135428741624544
R1,0,4.657024157760017,0.24708085274855918
R1,0,4.675479026652677,0.24294017216681002
R1,0,4.693933895545335,0.23893480025485084
R1,0,4.7123887644379945,0.23506626063273559
R1,0,4.730843633330654,0.23133506546296456
R1,0,4.749298502223312,0.2277407496255232
