split,fold,held_out,n_train,n_test,accuracy,macro_f1,f1_mobile,f1_immobile,f1_sleep,confusion,feature_set
blocked_stratified_cv,1,all,543,160,0.73125,0.7205336113562737,0.8235294117647058,0.5747126436781609,0.7633587786259542,"[[0.84, 0.04, 0.12], [0.2222222222222222, 0.5555555555555556, 0.2222222222222222], [0.0, 0.23076923076923078, 0.7692307692307693]]",native_spectrum
blocked_stratified_cv,2,all,543,160,0.7625,0.7550172265288544,0.8222222222222222,0.6511627906976745,0.7916666666666666,"[[0.74, 0.1, 0.16], [0.06666666666666667, 0.6222222222222222, 0.3111111111111111], [0.0, 0.12307692307692308, 0.8769230769230769]]",native_spectrum
blocked_stratified_cv,3,all,543,160,0.8,0.8040962621607782,0.8571428571428571,0.780952380952381,0.7741935483870968,"[[0.78, 0.08, 0.14], [0.0, 0.9111111111111111, 0.08888888888888889], [0.03076923076923077, 0.23076923076923078, 0.7384615384615385]]",native_spectrum
blocked_stratified_cv,4,all,543,160,0.81875,0.8204063540309741,0.8936170212765957,0.7551020408163265,0.8125,"[[0.84, 0.06, 0.1], [0.044444444444444446, 0.8222222222222222, 0.13333333333333333], [0.0, 0.2, 0.8]]",native_spectrum
blocked_stratified_cv,0,all,540,160,0.68125,0.6770346022101587,0.7407407407407407,0.5773195876288659,0.7130434782608696,"[[0.8, 0.14, 0.06], [0.2391304347826087, 0.6086956521739131, 0.15217391304347827], [0.109375, 0.25, 0.640625]]",highrate_dynamics
blocked_stratified_cv,1,all,543,160,0.66875,0.6567221042324266,0.773109243697479,0.46808510638297873,0.7289719626168224,"[[0.92, 0.06, 0.02], [0.4666666666666667, 0.4888888888888889, 0.044444444444444446], [0.03076923076923077, 0.36923076923076925, 0.6]]",highrate_dynamics
blocked_stratified_cv,2,all,543,160,0.68125,0.6771672885159269,0.7735849056603774,0.5510204081632653,0.7068965517241379,"[[0.82, 0.12, 0.06], [0.24444444444444444, 0.6, 0.15555555555555556], [0.06153846153846154, 0.3076923076923077, 0.6307692307692307]]",highrate_dynamics
blocked_stratified_cv,3,all,543,160,0.65625,0.6603397377168173,0.7959183673469388,0.5471698113207547,0.6379310344827587,"[[0.78, 0.16, 0.06], [0.1111111111111111, 0.6444444444444445, 0.24444444444444444], [0.06153846153846154, 0.36923076923076925, 0.5692307692307692]]",highrate_dynamics
blocked_stratified_cv,4,all,543,160,0.675,0.6732188312091459,0.8653846153846154,0.5102040816326531,0.6440677966101694,"[[0.9, 0.08, 0.02], [0.13333333333333333, 0.5555555555555556, 0.3111111111111111], [0.046153846153846156, 0.36923076923076925, 0.5846153846153846]]",highrate_dynamics
blocked_stratified_cv,0,all,540,160,0.675,0.6789540138224348,0.7708333333333334,0.5818181818181818,0.6842105263157895,"[[0.74, 0.2, 0.06], [0.13043478260869565, 0.6956521739130435, 0.17391304347826086], [0.046875, 0.34375, 0.609375]]",torus_shape
